"id","name","state_ids/id"
"l10n_cl_dte.ur_Anc","Ancud","l10n_cl_counties.CL10202,l10n_cl_counties.CL10209"
"l10n_cl_dte.ur_Ang","Angol","l10n_cl_counties.CL09201,l10n_cl_counties.CL09202,l10n_cl_counties.CL09204,l10n_cl_counties.CL09206,l10n_cl_counties.CL09208,l10n_cl_counties.CL09209"
"l10n_cl_dte.ur_Ant","Antofagasta","l10n_cl_counties.CL02101,l10n_cl_counties.CL02102,l10n_cl_counties.CL02103"
"l10n_cl_dte.ur_Ari","Arica y Parinacota","l10n_cl_counties.CL15101,l10n_cl_counties.CL15102,l10n_cl_counties.CL15201,l10n_cl_counties.CL15202"
"l10n_cl_dte.ur_Ays","Aysén","l10n_cl_counties.CL11102,l10n_cl_counties.CL11201,l10n_cl_counties.CL11202,l10n_cl_counties.CL11203"
"l10n_cl_dte.ur_Cal","Calama","l10n_cl_counties.CL02201,l10n_cl_counties.CL02202,l10n_cl_counties.CL02203"
"l10n_cl_dte.ur_Cas","Castro","l10n_cl_counties.CL10201,l10n_cl_counties.CL10203,l10n_cl_counties.CL10204,l10n_cl_counties.CL10205,l10n_cl_counties.CL10206,l10n_cl_counties.CL10207,l10n_cl_counties.CL10208"
"l10n_cl_dte.ur_Cau","Cauquenes","l10n_cl_counties.CL07201,l10n_cl_counties.CL07202,l10n_cl_counties.CL07203"
"l10n_cl_dte.ur_Cha","Chaitén","l10n_cl_counties.CL10401,l10n_cl_counties.CL10402,l10n_cl_counties.CL10404"
"l10n_cl_dte.ur_Chn","Chañaral","l10n_cl_counties.CL03201,l10n_cl_counties.CL03202"
"l10n_cl_dte.ur_ChC","Chile Chico","l10n_cl_counties.CL11401"
"l10n_cl_dte.ur_Chi","Chillán","l10n_cl_counties.CL08401,l10n_cl_counties.CL08402,l10n_cl_counties.CL08403,l10n_cl_counties.CL08404,l10n_cl_counties.CL08405,l10n_cl_counties.CL08406,l10n_cl_counties.CL08407,l10n_cl_counties.CL08408,l10n_cl_counties.CL08410,l10n_cl_counties.CL08411,l10n_cl_counties.CL08412,l10n_cl_counties.CL08413,l10n_cl_counties.CL08414,l10n_cl_counties.CL08415,l10n_cl_counties.CL08418,l10n_cl_counties.CL08420,l10n_cl_counties.CL08421"
"l10n_cl_dte.ur_Coc","Cochrane","l10n_cl_counties.CL11301,l10n_cl_counties.CL11302,l10n_cl_counties.CL11303"
"l10n_cl_dte.ur_Cop","Concepción ","l10n_cl_counties.CL08101,l10n_cl_counties.CL08102,l10n_cl_counties.CL08103,l10n_cl_counties.CL08104,l10n_cl_counties.CL08105,l10n_cl_counties.CL08106,l10n_cl_counties.CL08107,l10n_cl_counties.CL08108,l10n_cl_counties.CL08109,l10n_cl_counties.CL08111,l10n_cl_counties.CL08202"
"l10n_cl_dte.ur_Cos","Constitución","l10n_cl_counties.CL07102,l10n_cl_counties.CL07104"
"l10n_cl_dte.ur_Coo","Copiapo","l10n_cl_counties.CL03101,l10n_cl_counties.CL03102,l10n_cl_counties.CL03103"
"l10n_cl_dte.ur_Coq","Coquimbo","l10n_cl_counties.CL04102"
"l10n_cl_dte.ur_Coy","Coyhaique","l10n_cl_counties.CL11101,l10n_cl_counties.CL11302,l10n_cl_counties.CL11303,l10n_cl_counties.CL11402"
"l10n_cl_dte.ur_Cur","Curicó","l10n_cl_counties.CL07301,l10n_cl_counties.CL07302,l10n_cl_counties.CL07303,l10n_cl_counties.CL07304,l10n_cl_counties.CL07305,l10n_cl_counties.CL07306,l10n_cl_counties.CL07307,l10n_cl_counties.CL07308,l10n_cl_counties.CL07309"
"l10n_cl_dte.ur_Gra","Grandes Contribuyentes",""
"l10n_cl_dte.ur_Ill","Illapel","l10n_cl_counties.CL04201,l10n_cl_counties.CL04202,l10n_cl_counties.CL04203,l10n_cl_counties.CL04204"
"l10n_cl_dte.ur_Iqu","Iquique","l10n_cl_counties.CL01101,l10n_cl_counties.CL01107,l10n_cl_counties.CL01401,l10n_cl_counties.CL01402,l10n_cl_counties.CL01403,l10n_cl_counties.CL01404,l10n_cl_counties.CL01405"
"l10n_cl_dte.ur_LaL","La Ligua","l10n_cl_counties.CL05401,l10n_cl_counties.CL05402,l10n_cl_counties.CL05403,l10n_cl_counties.CL05404,l10n_cl_counties.CL05405"
"l10n_cl_dte.ur_LaS","La Serena","l10n_cl_counties.CL04101,l10n_cl_counties.CL04103,l10n_cl_counties.CL04104,l10n_cl_counties.CL04105,l10n_cl_counties.CL04106"
"l10n_cl_dte.ur_LaU","La Unión","l10n_cl_counties.CL14201,l10n_cl_counties.CL14203,l10n_cl_counties.CL14204"
"l10n_cl_dte.ur_Lan","Lanco","l10n_cl_counties.CL14103"
"l10n_cl_dte.ur_Leb","Lebu","l10n_cl_counties.CL08201,l10n_cl_counties.CL08203,l10n_cl_counties.CL08204,l10n_cl_counties.CL08205,l10n_cl_counties.CL08206,l10n_cl_counties.CL08207"
"l10n_cl_dte.ur_Lin","Linares","l10n_cl_counties.CL07401,l10n_cl_counties.CL07402,l10n_cl_counties.CL07403,l10n_cl_counties.CL07407,l10n_cl_counties.CL07408"
"l10n_cl_dte.ur_Lod","Los Andes","l10n_cl_counties.CL05301,l10n_cl_counties.CL05302,l10n_cl_counties.CL05303,l10n_cl_counties.CL05304"
"l10n_cl_dte.ur_Log","Los Ángeles","l10n_cl_counties.CL08301,l10n_cl_counties.CL08302,l10n_cl_counties.CL08303,l10n_cl_counties.CL08304,l10n_cl_counties.CL08305,l10n_cl_counties.CL08306,l10n_cl_counties.CL08307,l10n_cl_counties.CL08308,l10n_cl_counties.CL08309,l10n_cl_counties.CL08310,l10n_cl_counties.CL08311,l10n_cl_counties.CL08312,l10n_cl_counties.CL08313,l10n_cl_counties.CL08314"
"l10n_cl_dte.ur_Oso","Osorno","l10n_cl_counties.CL10301,l10n_cl_counties.CL10302,l10n_cl_counties.CL10303,l10n_cl_counties.CL10304,l10n_cl_counties.CL10305,l10n_cl_counties.CL10306,l10n_cl_counties.CL10307"
"l10n_cl_dte.ur_Ova","Ovalle","l10n_cl_counties.CL04301,l10n_cl_counties.CL04302,l10n_cl_counties.CL04303,l10n_cl_counties.CL04304,l10n_cl_counties.CL04305"
"l10n_cl_dte.ur_Pan","Panguipulli","l10n_cl_counties.CL14108"
"l10n_cl_dte.ur_Par","Parral","l10n_cl_counties.CL07404,l10n_cl_counties.CL07405"
"l10n_cl_dte.ur_Pic","Pichilemu","l10n_cl_counties.CL06201,l10n_cl_counties.CL06202,l10n_cl_counties.CL06203,l10n_cl_counties.CL06204,l10n_cl_counties.CL06206"
"l10n_cl_dte.ur_Por","Porvenir","l10n_cl_counties.CL12301,l10n_cl_counties.CL12302,l10n_cl_counties.CL12303"
"l10n_cl_dte.ur_PuM","Puerto Montt","l10n_cl_counties.CL10101,l10n_cl_counties.CL10102,l10n_cl_counties.CL10106,l10n_cl_counties.CL10108,l10n_cl_counties.CL10403"
"l10n_cl_dte.ur_PuN","Puerto Natales","l10n_cl_counties.CL12401,l10n_cl_counties.CL12402"
"l10n_cl_dte.ur_PuV","Puerto Varas","l10n_cl_counties.CL10103,l10n_cl_counties.CL10104,l10n_cl_counties.CL10105,l10n_cl_counties.CL10107,l10n_cl_counties.CL10109"
"l10n_cl_dte.ur_PuA","Punta Arenas","l10n_cl_counties.CL12101,l10n_cl_counties.CL12102,l10n_cl_counties.CL12103,l10n_cl_counties.CL12104,l10n_cl_counties.CL12201"
"l10n_cl_dte.ur_Qui","Quillota","l10n_cl_counties.CL05501,l10n_cl_counties.CL05502,l10n_cl_counties.CL05503,l10n_cl_counties.CL05504,l10n_cl_counties.CL05505,l10n_cl_counties.CL05506,l10n_cl_counties.CL05507"
"l10n_cl_dte.ur_Ran","Rancagua","l10n_cl_counties.CL06101,l10n_cl_counties.CL06102,l10n_cl_counties.CL06103,l10n_cl_counties.CL06104,l10n_cl_counties.CL06105,l10n_cl_counties.CL06106,l10n_cl_counties.CL06108,l10n_cl_counties.CL06109,l10n_cl_counties.CL06110,l10n_cl_counties.CL06111,l10n_cl_counties.CL06114,l10n_cl_counties.CL06115,l10n_cl_counties.CL06116"
"l10n_cl_dte.ur_SaA","San Antonio","l10n_cl_counties.CL05601,l10n_cl_counties.CL05602,l10n_cl_counties.CL05603,l10n_cl_counties.CL05604,l10n_cl_counties.CL05605,l10n_cl_counties.CL05606"
"l10n_cl_dte.ur_Sar","San Carlos","l10n_cl_counties.CL08416,l10n_cl_counties.CL08417,l10n_cl_counties.CL08419,l10n_cl_counties.CL12104"
"l10n_cl_dte.ur_SaF","San Felipe","l10n_cl_counties.CL05701,l10n_cl_counties.CL05702,l10n_cl_counties.CL05703,l10n_cl_counties.CL05704,l10n_cl_counties.CL05705,l10n_cl_counties.CL05706"
"l10n_cl_dte.ur_SaD","San Fernando","l10n_cl_counties.CL06301,l10n_cl_counties.CL06303,l10n_cl_counties.CL06305,l10n_cl_counties.CL06308"
"l10n_cl_dte.ur_SaV","San Vicente de Tagua Tagua","l10n_cl_counties.CL06107,l10n_cl_counties.CL06112,l10n_cl_counties.CL06113,l10n_cl_counties.CL06117"
"l10n_cl_dte.ur_SaZ","Santa Cruz","l10n_cl_counties.CL06302,l10n_cl_counties.CL06304,l10n_cl_counties.CL06306,l10n_cl_counties.CL06307,l10n_cl_counties.CL06309,l10n_cl_counties.CL06310"
"l10n_cl_dte.ur_SaC","Santiago Centro","l10n_cl_counties.CL13101"
"l10n_cl_dte.ur_SaN","Santiago Norte","l10n_cl_counties.CL13104,l10n_cl_counties.CL13107,l10n_cl_counties.CL13108,l10n_cl_counties.CL13125,l10n_cl_counties.CL13127,l10n_cl_counties.CL13301,l10n_cl_counties.CL13302,l10n_cl_counties.CL13303"
"l10n_cl_dte.ur_SaO","Santiago Oriente","l10n_cl_counties.CL06107,l10n_cl_counties.CL13114,l10n_cl_counties.CL13115,l10n_cl_counties.CL13123,l10n_cl_counties.CL13132"
"l10n_cl_dte.ur_SaP","Santiago Poniente","l10n_cl_counties.CL13103,l10n_cl_counties.CL13106,l10n_cl_counties.CL13117,l10n_cl_counties.CL13124,l10n_cl_counties.CL13126,l10n_cl_counties.CL13128,l10n_cl_counties.CL13503"
"l10n_cl_dte.ur_SaS","Santiago Sur","l10n_cl_counties.CL13109,l10n_cl_counties.CL13111,l10n_cl_counties.CL13112,l10n_cl_counties.CL13116,l10n_cl_counties.CL13121,l10n_cl_counties.CL13129,l10n_cl_counties.CL13130,l10n_cl_counties.CL13131"
"l10n_cl_dte.ur_TaT","Tal-Tal","l10n_cl_counties.CL02104"
"l10n_cl_dte.ur_Tac","Talca","l10n_cl_counties.CL07101,l10n_cl_counties.CL07103,l10n_cl_counties.CL07105,l10n_cl_counties.CL07106,l10n_cl_counties.CL07107,l10n_cl_counties.CL07108,l10n_cl_counties.CL07109,l10n_cl_counties.CL07406"
"l10n_cl_dte.ur_Tah","Talcahuano","l10n_cl_counties.CL08110,l10n_cl_counties.CL08112"
"l10n_cl_dte.ur_Tem","Temuco","l10n_cl_counties.CL09101,l10n_cl_counties.CL09102,l10n_cl_counties.CL09103,l10n_cl_counties.CL09105,l10n_cl_counties.CL09106,l10n_cl_counties.CL09107,l10n_cl_counties.CL09108,l10n_cl_counties.CL09109,l10n_cl_counties.CL09110,l10n_cl_counties.CL09111,l10n_cl_counties.CL09112,l10n_cl_counties.CL09113,l10n_cl_counties.CL09114,l10n_cl_counties.CL09116,l10n_cl_counties.CL09117,l10n_cl_counties.CL09118,l10n_cl_counties.CL09119,l10n_cl_counties.CL09121"
"l10n_cl_dte.ur_Toc","Tocopilla","l10n_cl_counties.CL02301,l10n_cl_counties.CL02302"
"l10n_cl_dte.ur_Vld","Valdivia","l10n_cl_counties.CL14101,l10n_cl_counties.CL14102,l10n_cl_counties.CL14103,l10n_cl_counties.CL14104,l10n_cl_counties.CL14105,l10n_cl_counties.CL14106,l10n_cl_counties.CL14107,l10n_cl_counties.CL14108,l10n_cl_counties.CL14201,l10n_cl_counties.CL14202,l10n_cl_counties.CL14203,l10n_cl_counties.CL14204"
"l10n_cl_dte.ur_Val","Vallenar","l10n_cl_counties.CL03301,l10n_cl_counties.CL03302,l10n_cl_counties.CL03303,l10n_cl_counties.CL03304"
"l10n_cl_dte.ur_Vlp","Valparaíso","l10n_cl_counties.CL05101,l10n_cl_counties.CL05102,l10n_cl_counties.CL05103,l10n_cl_counties.CL05104,l10n_cl_counties.CL05105,l10n_cl_counties.CL05107,l10n_cl_counties.CL05109,l10n_cl_counties.CL05201"
"l10n_cl_dte.ur_Vic","Victoria","l10n_cl_counties.CL09203,l10n_cl_counties.CL09205,l10n_cl_counties.CL09207,l10n_cl_counties.CL09210,l10n_cl_counties.CL09211"
"l10n_cl_dte.ur_ViA","Villa Alemana","l10n_cl_counties.CL05106,l10n_cl_counties.CL05108"
"l10n_cl_dte.ur_ViR","Villarrica","l10n_cl_counties.CL09104,l10n_cl_counties.CL09115,l10n_cl_counties.CL09120"
"l10n_cl_dte.ur_ViM","Viña del Mar","l10n_cl_counties.CL05103,l10n_cl_counties.CL05105,l10n_cl_counties.CL05107,l10n_cl_counties.CL05109"
